player_id,position,season,weeks,weeks_changed,cells_changed,dose,first_season,is_rookie,stratum
00-0007091,QB,2015,8,1,9,0.125,2006,0,low
00-0010346,QB,2015,13,2,11,0.15384615384615385,2006,0,low
00-0019596,QB,2015,18,2,11,0.1111111111111111,2006,0,low
00-0019596,QB,2016,15,1,1,0.06666666666666667,2006,0,low
00-0019596,QB,2017,19,1,1,0.05263157894736842,2006,0,low
00-0019596,QB,2018,19,1,1,0.05263157894736842,2006,0,low
00-0019596,QB,2019,17,1,1,0.058823529411764705,2006,0,low
00-0019596,QB,2020,20,1,1,0.05,2006,0,low
00-0019596,QB,2021,19,1,1,0.05263157894736842,2006,0,low
00-0019596,QB,2022,18,1,1,0.05555555555555555,2006,0,low
00-0020245,QB,2015,5,1,9,0.2,2006,0,low
00-0020337,WR,2015,7,7,26,1.0,2006,0,high
00-0020337,WR,2016,14,2,3,0.14285714285714285,2006,0,low
00-0020531,QB,2015,15,2,11,0.13333333333333333,2006,0,low
00-0020531,QB,2016,16,1,1,0.0625,2006,0,low
00-0020531,QB,2017,18,1,1,0.05555555555555555,2006,0,low
00-0020531,QB,2018,17,1,1,0.058823529411764705,2006,0,low
00-0020531,QB,2019,12,1,1,0.08333333333333333,2006,0,low
00-0020531,QB,2020,14,1,1,0.07142857142857142,2006,0,low
00-0020679,QB,2015,3,1,9,0.3333333333333333,2007,0,mid
00-0020679,QB,2016,3,1,1,0.3333333333333333,2007,0,mid
00-0021206,QB,2015,8,2,11,0.25,2006,0,low
00-0021206,QB,2016,5,1,1,0.2,2006,0,low
00-0021206,QB,2017,13,1,1,0.07692307692307693,2006,0,low
00-0021206,QB,2018,4,1,1,0.25,2006,0,low
00-0021206,QB,2019,4,1,1,0.25,2006,0,low
00-0021429,QB,2015,18,2,11,0.1111111111111111,2006,0,low
00-0021429,QB,2016,15,1,1,0.06666666666666667,2006,0,low
00-0021429,QB,2017,7,1,1,0.14285714285714285,2006,0,low
00-0021547,TE,2015,11,11,30,1.0,2006,0,high
00-0021547,TE,2016,14,2,3,0.14285714285714285,2006,0,low
00-0021547,TE,2017,16,1,1,0.0625,2006,0,low
00-0021547,TE,2018,18,1,1,0.05555555555555555,2006,0,low
00-0021678,QB,2015,4,2,11,0.5,2006,0,mid
00-0021678,QB,2016,1,0,0,0.0,2006,0,none
00-0022044,WR,2015,16,16,44,1.0,2006,0,high
00-0022044,WR,2016,8,2,3,0.25,2006,0,low
00-0022084,WR,2015,14,14,40,1.0,2006,0,high
00-0022084,WR,2016,17,2,3,0.11764705882352941,2006,0,low
00-0022127,TE,2015,16,16,42,1.0,2006,0,high
00-0022127,TE,2016,17,2,3,0.11764705882352941,2006,0,low
00-0022127,TE,2017,16,1,1,0.0625,2006,0,low
00-0022127,TE,2019,16,1,1,0.0625,2006,0,low
00-0022127,TE,2020,16,1,1,0.0625,2006,0,low
00-0022414,WR,2015,15,15,42,1.0,2006,0,high
00-0022427,WR,2015,7,7,24,1.0,2006,0,high
00-0022736,RB,2015,4,4,17,1.0,2006,0,high
00-0022787,QB,2015,2,1,9,0.5,2006,0,mid
00-0022787,QB,2016,3,1,1,0.3333333333333333,2006,0,mid
00-0022787,QB,2018,3,1,1,0.3333333333333333,2006,0,mid
00-0022787,QB,2019,5,1,1,0.2,2006,0,low
00-0022787,QB,2020,1,0,0,0.0,2006,0,none
00-0022803,QB,2015,16,2,11,0.125,2006,0,low
00-0022803,QB,2016,17,1,1,0.058823529411764705,2006,0,low
00-0022803,QB,2017,15,1,1,0.06666666666666667,2006,0,low
00-0022803,QB,2018,16,1,1,0.0625,2006,0,low
00-0022803,QB,2019,4,1,1,0.25,2006,0,low
00-0022811,WR,2015,17,17,46,1.0,2006,0,high
00-0022864,QB,2015,2,1,9,0.5,2007,0,mid
00-0022921,WR,2015,18,18,48,1.0,2006,0,high
00-0022921,WR,2016,16,2,3,0.125,2006,0,low
00-0022921,WR,2017,16,1,1,0.0625,2006,0,low
00-0022921,WR,2018,16,1,1,0.0625,2006,0,low
00-0022921,WR,2019,16,1,1,0.0625,2006,0,low
00-0022921,WR,2020,13,1,1,0.07692307692307693,2006,0,low
00-0022924,QB,2015,14,2,11,0.14285714285714285,2006,0,low
00-0022924,QB,2016,17,1,1,0.058823529411764705,2006,0,low
00-0022924,QB,2017,16,1,1,0.0625,2006,0,low
00-0022924,QB,2018,16,1,1,0.0625,2006,0,low
00-0022924,QB,2019,2,1,1,0.5,2006,0,mid
00-0022924,QB,2020,16,1,1,0.0625,2006,0,low
00-0022924,QB,2021,17,1,1,0.058823529411764705,2006,0,low
00-0022942,QB,2015,16,2,11,0.125,2006,0,low
00-0022942,QB,2016,16,1,1,0.0625,2006,0,low
00-0022942,QB,2017,16,1,1,0.0625,2006,0,low
00-0022942,QB,2018,18,1,1,0.05555555555555555,2006,0,low
00-0022942,QB,2019,16,1,1,0.0625,2006,0,low
00-0022942,QB,2020,17,1,1,0.058823529411764705,2006,0,low
00-0022942,QB,2025,3,1,1,0.3333333333333333,2006,0,mid
00-0022943,TE,2015,16,16,42,1.0,2006,0,high
00-0022943,TE,2017,16,2,3,0.125,2006,0,low
00-0022943,TE,2018,17,1,1,0.058823529411764705,2006,0,low
00-0022943,TE,2019,11,1,1,0.09090909090909091,2006,0,low
00-0023310,WR,2015,14,14,40,1.0,2006,0,high
00-0023367,WR,2015,15,15,42,1.0,2006,0,high
00-0023436,QB,2015,18,2,11,0.1111111111111111,2006,0,low
00-0023436,QB,2016,16,1,1,0.0625,2006,0,low
00-0023436,QB,2017,16,1,1,0.0625,2006,0,low
00-0023436,QB,2018,10,1,1,0.1,2006,0,low
00-0023436,QB,2020,8,1,1,0.125,2006,0,low
00-0023459,QB,2015,18,2,11,0.1111111111111111,2006,0,low
00-0023459,QB,2016,19,1,1,0.05263157894736842,2006,0,low
00-0023459,QB,2017,7,1,1,0.14285714285714285,2006,0,low
00-0023459,QB,2018,16,1,1,0.0625,2006,0,low
00-0023459,QB,2019,18,1,1,0.05555555555555555,2006,0,low
00-0023459,QB,2020,18,1,1,0.05555555555555555,2006,0,low
00-0023459,QB,2021,17,1,1,0.058823529411764705,2006,0,low
00-0023459,QB,2022,17,1,1,0.058823529411764705,2006,0,low
00-0023459,QB,2023,1,0,0,0.0,2006,0,none
00-0023459,QB,2024,17,2,2,0.11764705882352941,2006,0,low
00-0023459,QB,2025,17,1,1,0.058823529411764705,2006,0,low
00-0023462,WR,2015,16,16,44,1.0,2006,0,high
00-0023465,TE,2015,17,17,44,1.0,2006,0,high
00-0023496,WR,2015,10,10,32,1.0,2006,0,high
00-0023496,WR,2016,5,2,3,0.4,2006,0,mid
00-0023500,RB,2015,16,16,43,1.0,2006,0,high
00-0023500,RB,2016,16,2,3,0.125,2006,0,low
00-0023500,RB,2017,16,1,1,0.0625,2006,0,low
00-0023500,RB,2018,14,1,1,0.07142857142857142,2006,0,low
00-0023500,RB,2019,17,1,1,0.058823529411764705,2006,0,low
00-0023500,RB,2020,15,1,1,0.06666666666666667,2006,0,low
00-0023506,TE,2015,4,4,16,1.0,2006,0,high
00-0023564,RB,2015,16,16,43,1.0,2007,0,high
00-0023564,RB,2016,15,2,3,0.13333333333333333,2007,0,low
00-0023564,RB,2017,3,1,1,0.3333333333333333,2007,0,mid
00-0023564,RB,2018,8,1,1,0.125,2007,0,low
00-0023564,RB,2019,6,1,1,0.16666666666666666,2007,0,low
00-0023578,QB,2015,2,1,9,0.5,2008,0,mid
00-0023645,QB,2015,4,1,9,0.25,2006,0,low
00-0023645,QB,2016,5,1,1,0.2,2006,0,low
00-0023645,QB,2017,4,1,1,0.25,2006,0,low
00-0023645,QB,2018,2,1,1,0.5,2006,0,mid
00-0023662,QB,2015,9,3,13,0.3333333333333333,2006,0,mid
00-0023662,QB,2016,4,1,1,0.25,2006,0,low
00-0023662,QB,2017,2,1,1,0.5,2006,0,mid
00-0023662,QB,2018,2,1,1,0.5,2006,0,mid
00-0023682,QB,2015,16,2,11,0.125,2006,0,low
00-0023682,QB,2016,14,1,1,0.07142857142857142,2006,0,low
00-0023682,QB,2017,6,1,1,0.16666666666666666,2006,0,low
00-0023682,QB,2018,8,1,1,0.125,2006,0,low
00-0023682,QB,2019,15,1,1,0.06666666666666667,2006,0,low
00-0023682,QB,2020,9,1,1,0.1111111111111111,2006,0,low
00-0023682,QB,2021,1,0,0,0.0,2006,0,none
00-0023752,TE,2015,2,2,14,1.0,2008,0,high
00-0023921,WR,2015,11,11,34,1.0,2006,0,high
00-0024204,RB,2015,18,18,47,1.0,2007,0,high
00-0024217,RB,2015,5,5,21,1.0,2006,0,high
00-0024217,RB,2016,13,2,3,0.15384615384615385,2006,0,low
00-0024221,TE,2015,16,16,42,1.0,2006,0,high
00-0024221,TE,2016,16,2,3,0.125,2006,0,low
00-0024221,TE,2017,16,1,1,0.0625,2006,0,low
00-0024221,TE,2018,14,1,1,0.07142857142857142,2006,0,low
00-0024221,TE,2019,4,1,1,0.25,2006,0,low
00-0024226,QB,2015,15,2,11,0.13333333333333333,2006,0,low
00-0024226,QB,2016,5,1,1,0.2,2006,0,low
00-0024226,QB,2017,14,1,1,0.07142857142857142,2006,0,low
00-0024242,RB,2015,16,16,43,1.0,2006,0,high
00-0024242,RB,2016,11,2,3,0.18181818181818182,2006,0,low
00-0024243,TE,2015,16,16,42,1.0,2006,0,high
00-0024243,TE,2016,10,2,3,0.2,2006,0,low
00-0024243,TE,2017,19,1,1,0.05263157894736842,2006,0,low
00-0024243,TE,2018,16,1,1,0.0625,2006,0,low
00-0024243,TE,2019,17,1,1,0.058823529411764705,2006,0,low
00-0024243,TE,2020,16,1,1,0.0625,2006,0,low
00-0024243,TE,2021,18,1,1,0.05555555555555555,2006,0,low
00-0024243,TE,2022,17,1,1,0.058823529411764705,2006,0,low
00-0024243,TE,2023,17,1,1,0.058823529411764705,2006,0,low
00-0024243,TE,2024,17,1,1,0.058823529411764705,2006,0,low
00-0024243,TE,2025,5,1,1,0.2,2006,0,low
00-0024264,QB,2015,2,1,9,0.5,2006,0,mid
00-0024264,QB,2016,1,0,0,0.0,2006,0,none
00-0024264,QB,2017,3,2,2,0.6666666666666666,2006,0,mid
00-0024267,WR,2015,16,16,44,1.0,2006,0,high
00-0024268,TE,2015,16,16,42,1.0,2006,0,high
00-0024268,TE,2016,16,2,3,0.125,2006,0,low
00-0024268,TE,2017,16,1,1,0.0625,2006,0,low
00-0024272,WR,2015,1,1,12,1.0,2006,0,high
00-0024272,WR,2016,1,1,3,1.0,2006,0,high
00-0024279,QB,2015,4,1,9,0.25,2006,0,low
00-0024296,QB,2015,4,1,9,0.25,2006,0,low
00-0024296,QB,2016,1,0,0,0.0,2006,0,none
00-0024313,TE,2015,19,19,48,1.0,2006,0,high
00-0024324,WR,2015,17,17,46,1.0,2006,0,high
00-0024334,WR,2015,16,16,44,1.0,2006,0,high
00-0024334,WR,2016,15,2,3,0.13333333333333333,2006,0,low
00-0024334,WR,2017,5,1,1,0.2,2006,0,low
00-0024334,WR,2018,7,1,1,0.14285714285714285,2006,0,low
